title,author,book_url,date_pub,date_finished,date_started,num_pages,my_rating,review,shelves,progress_json,genres,language
A Certain Hunger,"Summers, Chelsea G.",https://www.goodreads.com/book/show/44294655-a-certain-hunger,"Oct 31, 2019","Oct 24, 2025","Sep 26, 2025",250,3,NA,read,"[{""date"":""April 5, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 5, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""September 26, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 26, 2025"",""page"":47,""percent"":18.8,""event"":null},{""date"":""September 28, 2025"",""page"":76,""percent"":30.4,""event"":null},{""date"":""October 2, 2025"",""page"":105,""percent"":42,""event"":null},{""date"":""October 24, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Horror; Fiction; Thriller; Contemporary; Feminism; Literary Fiction; Adult; ...more,English
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)","Maas, Sarah J.",https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,"Feb 16, 2021","Aug 31, 2025","Aug 27, 2025",757,2,NA,read,"[{""date"":""August 27, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 31, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 31, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Fantasy; Romance; Romantasy; Fiction; Fae; Audiobook; Fantasy Romance; ...more,English
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)","Maas, Sarah J.",https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight,"May 21, 2019","Aug 26, 2025","Aug 24, 2025",272,2,NA,read,"[{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 24, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 24, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 26, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Fantasy; Romance; Romantasy; Fiction; Fae; Young Adult; Audiobook; ...more,English
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)","Maas, Sarah J.",https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,"May 02, 2017","Aug 24, 2025","Aug 20, 2025",699,2,NA,read,"[{""date"":""August 20, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 24, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 24, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Fantasy; Romance; Romantasy; Young Adult; Fiction; Fae; New Adult; ...more,English
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)","Maas, Sarah J.",https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,"May 03, 2016","Aug 21, 2025","Aug 20, 2025",626,NA,NA,read,"[{""date"":""August 20, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 21, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 21, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Fantasy; Romance; Romantasy; Young Adult; Fiction; Fae; New Adult; ...more,English
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)","Maas, Sarah J.",https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,"May 05, 2015","Aug 17, 2025","Aug 17, 2025",419,2,NA,read,"[{""date"":""August 17, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 17, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 17, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Fantasy; Romance; Young Adult; Romantasy; Fiction; Audiobook; Fae; ...more,English
Los días del abandono,"Ferrante, Elena",https://www.goodreads.com/book/show/290188.Los_d_as_del_abandono,2002,"Aug 15, 2025","Aug 14, 2025",224,3,"Los días del abandono relata el duelo de Olga tras la ruptura repentina de su matrimonio. La duda y la obsesión por encontrar los porqués; la autoflag Los días del abandono relata el duelo de Olga tras la ruptura repentina de su matrimonio. La duda y la obsesión por encontrar los porqués; la autoflagelación al pensar que todo es culpa de una; y, sobre todo, la desesperación al repasar un pasado que ya no volverá.Es un libro crudo, por momentos divertido, y lleno de rabia. ...more",read,"[{""date"":""August 14, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 14, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Contemporary; Literary Fiction; Italy; Italian Literature; Novels; Feminism; ...more,Spanish; Castilian
Las efímeras,"Adón, Pilar",https://www.goodreads.com/book/show/27465360-las-ef-meras,2015,"Aug 14, 2025","Aug 13, 2025",240,3,"**spoiler alert** No tengo muy claro si me ha gustado o no. Está bien escrito, y las descripciones transmiten muy bien la claustrofobia del lugar y de **spoiler alert** No tengo muy claro si me ha gustado o no. Está bien escrito, y las descripciones transmiten muy bien la claustrofobia del lugar y de las relaciones que allí se dan.Juega con los simbolismos y los opuestos: la hermana que cuida y abusa; el que debe salvar y mata; el que busca aislamiento pero desea comunidad; la que debe liderar y dar ejemplo, y sin embargo abandona y desatiende a quien la rodea. No consigo ubicar del todo a la otra hermana. Tal vez por eso el final me desconcierta un poco.Es una novela oscura e inquietante. Bien escrita. Pero no sé si necesito reposo para llegar a entenderla mejor. ...more",read,"[{""date"":""April 5, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 5, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""August 13, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 13, 2025"",""page"":null,""percent"":50,""event"":null},{""date"":""August 14, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Spanish Literature; Spain,Spanish; Castilian
Nada que decir,"Hidalgo, Silvia",https://www.goodreads.com/book/show/199282058-nada-que-decir,unknown,"Aug 12, 2025","Aug 11, 2025",213,4,"Me ha encantado el final: el resarcir de una mujer profundamente descontenta e insatisfecha.Cuesta leer cómo se inmola, sabiendo que sus actos no la v Me ha encantado el final: el resarcir de una mujer profundamente descontenta e insatisfecha.Cuesta leer cómo se inmola, sabiendo que sus actos no la van a llevar a la felicidad, que a veces lo más sabio sería tomar el camino opuesto. La dificultad del duelo es también reconocer lo que una realmente quiere, no lo que la sociedad o la familia te dicen que necesitas.Está muy bien narrado y se lee rapidísimo. ...more",read,"[{""date"":""October 20, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""October 20, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""August 11, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 12, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction,Spanish; Castilian
El cuaderno prohibido,"Céspedes, Alba de",https://www.goodreads.com/book/show/39282166-el-cuaderno-prohibido,1952,"Aug 10, 2025","Aug 03, 2025",304,5,"Es una lectura agria, por momentos frustrante y agobiante. Como las propias sensaciones de la protagonista. Me quedo con la frase: “Sueño con tener un Es una lectura agria, por momentos frustrante y agobiante. Como las propias sensaciones de la protagonista. Me quedo con la frase: “Sueño con tener una habitación solo para mi”. Un cuaderno secreto, escrito por Alba de Céspedes en 1952, cuenta la experiencia de una mujer en la Italia de la posguerra que compra un cuaderno para escribir su diario. Este acto, inocente en apariencia, significa reclamar el tiempo y el espacio físico para dedicarlo a una misma y no a otros.Escribir sobre su día implica reflexionar sobre las decisiones propias. La protagonista lo vive como un acto egoísta y culpable porque la aboca a tener un secreto, el primero de muchos. Poder escribir y revisar sus días la obliga a pensar en sí misma y a reconocer su propia insatisfacción. La compra de ese cuaderno es su último recurso para reclamar su propio espacio y su vida.La historia me recuerda a Un cuarto propio de Virginia Woolf: la importancia de tener un espacio propio, y el gesto de escribir como forma de afirmación interior. ...more",read; left-a-mark,"[{""date"":""March 15, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""March 15, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""August 3, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 5, 2025"",""page"":195,""percent"":64.14,""event"":null},{""date"":""August 10, 2025"",""page"":280,""percent"":92.11,""event"":null},{""date"":""August 10, 2025"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]",Fiction; Italy; Feminism; Italian Literature; Classics; Historical Fiction; Womens; ...more,Spanish; Castilian
