title,author,book_url,date_pub,date_finished_parsed,date_started_parsed,num_pages,my_rating,review,shelves,progress_json
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)","Maas, Sarah J.",https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,"Feb 16, 2021",2025-08-31,2025-08-27,757,2,NA,read,"[{""date"":""August 27, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 31, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 31, 2025"",""page"":null,""percent"":null,""event"":""finished""}]"
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)","Maas, Sarah J.",https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight,"May 21, 2019",2025-08-26,2025-08-24,272,2,NA,read,"[{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 24, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 24, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 26, 2025"",""page"":null,""percent"":null,""event"":""finished""}]"
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)","Maas, Sarah J.",https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,"May 02, 2017",2025-08-24,2025-08-20,699,2,NA,read,"[{""date"":""August 20, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 24, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 24, 2025"",""page"":null,""percent"":null,""event"":""finished""}]"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)","Maas, Sarah J.",https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,"May 03, 2016",2025-08-21,2025-08-20,626,NA,NA,read,"[{""date"":""August 20, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 21, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 21, 2025"",""page"":null,""percent"":null,""event"":""finished""}]"
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)","Maas, Sarah J.",https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,"May 05, 2015",2025-08-17,2025-08-17,419,2,NA,read,"[{""date"":""August 17, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 17, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 17, 2025"",""page"":null,""percent"":null,""event"":""finished""}]"
Los días del abandono,"Ferrante, Elena",https://www.goodreads.com/book/show/290188.Los_d_as_del_abandono,2002,2025-08-15,2025-08-14,224,3,"Los días del abandono relata el duelo de Olga tras la ruptura repentina de su matrimonio. La duda y la obsesión por encontrar los porqués; la autoflag Los días del abandono relata el duelo de Olga tras la ruptura repentina de su matrimonio. La duda y la obsesión por encontrar los porqués; la autoflagelación al pensar que todo es culpa de una; y, sobre todo, la desesperación al repasar un pasado que ya no volverá.Es un libro crudo, por momentos divertido, y lleno de rabia. ...more",read,"[{""date"":""August 14, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 14, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""finished""}]"
Las efímeras,"Adón, Pilar",https://www.goodreads.com/book/show/27465360-las-ef-meras,2015,2025-08-14,2025-08-13,240,3,"**spoiler alert** No tengo muy claro si me ha gustado o no. Está bien escrito, y las descripciones transmiten muy bien la claustrofobia del lugar y de **spoiler alert** No tengo muy claro si me ha gustado o no. Está bien escrito, y las descripciones transmiten muy bien la claustrofobia del lugar y de las relaciones que allí se dan.Juega con los simbolismos y los opuestos: la hermana que cuida y abusa; el que debe salvar y mata; el que busca aislamiento pero desea comunidad; la que debe liderar y dar ejemplo, y sin embargo abandona y desatiende a quien la rodea. No consigo ubicar del todo a la otra hermana. Tal vez por eso el final me desconcierta un poco.Es una novela oscura e inquietante. Bien escrita. Pero no sé si necesito reposo para llegar a entenderla mejor. ...more",read,"[{""date"":""April 5, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 5, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""August 13, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 13, 2025"",""page"":null,""percent"":50,""event"":null},{""date"":""August 14, 2025"",""page"":null,""percent"":null,""event"":""finished""}]"
Nada que decir,"Hidalgo, Silvia",https://www.goodreads.com/book/show/199282058-nada-que-decir,unknown,2025-08-12,2025-08-11,213,4,"Me ha encantado el final: el resarcir de una mujer profundamente descontenta e insatisfecha.Cuesta leer cómo se inmola, sabiendo que sus actos no la v Me ha encantado el final: el resarcir de una mujer profundamente descontenta e insatisfecha.Cuesta leer cómo se inmola, sabiendo que sus actos no la van a llevar a la felicidad, que a veces lo más sabio sería tomar el camino opuesto. La dificultad del duelo es también reconocer lo que una realmente quiere, no lo que la sociedad o la familia te dicen que necesitas.Está muy bien narrado y se lee rapidísimo. ...more",read,"[{""date"":""October 20, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""October 20, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""August 11, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 12, 2025"",""page"":null,""percent"":null,""event"":""finished""}]"
El cuaderno prohibido,"Céspedes, Alba de",https://www.goodreads.com/book/show/39282166-el-cuaderno-prohibido,1952,2025-08-10,2025-08-03,304,5,"Es una lectura agria, por momentos frustrante y agobiante. Como las propias sensaciones de la protagonista. Me quedo con la frase: “Sueño con tener un Es una lectura agria, por momentos frustrante y agobiante. Como las propias sensaciones de la protagonista. Me quedo con la frase: “Sueño con tener una habitación solo para mi”. Un cuaderno secreto, escrito por Alba de Céspedes en 1952, cuenta la experiencia de una mujer en la Italia de la posguerra que compra un cuaderno para escribir su diario. Este acto, inocente en apariencia, significa reclamar el tiempo y el espacio físico para dedicarlo a una misma y no a otros.Escribir sobre su día implica reflexionar sobre las decisiones propias. La protagonista lo vive como un acto egoísta y culpable porque la aboca a tener un secreto, el primero de muchos. Poder escribir y revisar sus días la obliga a pensar en sí misma y a reconocer su propia insatisfacción. La compra de ese cuaderno es su último recurso para reclamar su propio espacio y su vida.La historia me recuerda a Un cuarto propio de Virginia Woolf: la importancia de tener un espacio propio, y el gesto de escribir como forma de afirmación interior. ...more",read; left-a-mark,"[{""date"":""March 15, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""March 15, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""August 3, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 5, 2025"",""page"":195,""percent"":64.14,""event"":null},{""date"":""August 10, 2025"",""page"":280,""percent"":92.11,""event"":null},{""date"":""August 10, 2025"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]"
Obra maestra,"Tallón, Juan",https://www.goodreads.com/book/show/60109963-obra-maestra,"Feb 02, 2022",2025-08-03,2025-06-20,328,3,"Creo que en realidad le daría 3.5. Hay momentos brillantes y otros en los que me costaba seguir el relato. Los capítulos en los que Juan Tallón explic Creo que en realidad le daría 3.5. Hay momentos brillantes y otros en los que me costaba seguir el relato. Los capítulos en los que Juan Tallón explica como llegó a interesarse por la historia y a conseguir la causa judicial (para mí el mejor capítulo) me parecen geniales y muy interesantes. Tal vez ahí está la brillantez de esta novela, que cada capítulo te muestra fragmentos diferentes de este gran misterio ...more",read,"[{""date"":""March 28, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""March 28, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""June 20, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 14, 2025"",""page"":62,""percent"":18.9,""event"":null},{""date"":""July 20, 2025"",""page"":97,""percent"":29.57,""event"":null},{""date"":""July 25, 2025"",""page"":134,""percent"":40.85,""event"":null},{""date"":""July 25, 2025"",""page"":null,""percent"":60,""event"":null},{""date"":""July 26, 2025"",""page"":null,""percent"":68,""event"":null},{""date"":""July 27, 2025"",""page"":null,""percent"":81,""event"":null},{""date"":""August 3, 2025"",""page"":null,""percent"":null,""event"":""finished""}]"
La nostalgia de la Mujer Anfibio,"Sánchez-Andrade, Cristina",https://www.goodreads.com/book/show/59751587-la-nostalgia-de-la-mujer-anfibio,"Jan 19, 2022",2025-06-19,2025-06-05,272,4,NA,read; club-de-lectura,"[{""date"":""June 5, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 5, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 9, 2025"",""page"":65,""percent"":23.9,""event"":null},{""date"":""June 9, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""June 10, 2025"",""page"":90,""percent"":33.09,""event"":null},{""date"":""June 19, 2025"",""page"":null,""percent"":null,""event"":""finished""}]"
Chamanes eléctricos en la fiesta del sol,"Ojeda, Mónica",https://www.goodreads.com/book/show/202633889-chamanes-el-ctricos-en-la-fiesta-del-sol,"Feb 08, 2024",2025-05-30,2025-05-17,288,3,NA,read; club-de-lectura,"[{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""May 18, 2025"",""page"":114,""percent"":39.58,""event"":null},{""date"":""May 30, 2025"",""page"":null,""percent"":null,""event"":""finished""}]"
Imposible decir adiós,"Han, Kang",https://www.goodreads.com/book/show/220500564-imposible-decir-adi-s,"Sep 09, 2021",2025-05-10,2025-04-20,252,5,"No sabría muy bien cómo resumir este libro. Los capítulos finales lo transforman y ya no es sólo la historia de dos personas, es la historia de la mas No sabría muy bien cómo resumir este libro. Los capítulos finales lo transforman y ya no es sólo la historia de dos personas, es la historia de la masacre de la isla de Jeju y del impacto que tiene en los supervivientes el no saber qué pasó o dónde están los restos de sus familiares. No conocía esta parte de la historia de Corea, pero creo que muchos se pueden sentir identificados con esa agonía. La escritura de Han Kang es meticulosa y detallista. ...more",read,"[{""date"":""April 20, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 20, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""April 20, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 20, 2025"",""page"":72,""percent"":28.57,""event"":null},{""date"":""April 20, 2025"",""page"":98,""percent"":38.89,""event"":null},{""date"":""May 2, 2025"",""page"":182,""percent"":72.22,""event"":null},{""date"":""May 10, 2025"",""page"":null,""percent"":null,""event"":""finished""}]"
A Room of One’s Own,"Woolf, Virginia",https://www.goodreads.com/book/show/18521.A_Room_of_One_s_Own,"Oct 24, 1929",2025-04-19,2025-04-06,112,3,NA,read; club-de-lectura,"[{""date"":""April 6, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 6, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 19, 2025"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]"
El descontento,"Serrano, Beatriz",https://www.goodreads.com/book/show/184213307-el-descontento,"Oct 04, 2023",2025-03-15,2025-03-01,240,3,"Es una novela corta y divertida. Habla de la rutina, de odiar nuestro trabajo y, sobre todo, de la soledad. Creo que todos de alguna manera podemos ve Es una novela corta y divertida. Habla de la rutina, de odiar nuestro trabajo y, sobre todo, de la soledad. Creo que todos de alguna manera podemos vernos reflejados en Marisa: en el miedo que tiene de mostrarse tal y como es -sobre todo en un contexto laboral-; en el hartazgo del aburrimiento; en la desesperanza de no encontrar esa chispa -esas personas- que haga que el día merezca la pena. ...more",read; club-de-lectura,"[{""date"":""October 30, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""October 30, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""March 1, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""March 14, 2025"",""page"":147,""percent"":61.25,""event"":null},{""date"":""March 15, 2025"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]"
Temporada de huracanes,"Melchor, Fernanda",https://www.goodreads.com/book/show/34847511-temporada-de-huracanes,"May 12, 2017",2025-02-22,2025-02-15,224,4,"Es un libro excepcionalmente bien escrito que consigue meterte en la cabeza de todos sus personajes. Sin embargo, su historia es horrorosa. Amarga. Os Es un libro excepcionalmente bien escrito que consigue meterte en la cabeza de todos sus personajes. Sin embargo, su historia es horrorosa. Amarga. Oscura. Te lleva de miseria en miseria. Hay momentos en los que te gustaría apartar la mirada, aunque el narrador nunca juzgue las acciones de sus protagonistas. ...more",read; club-de-lectura,"[{""date"":""February 15, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""February 15, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""February 19, 2025"",""page"":118,""percent"":52.68,""event"":null},{""date"":""February 22, 2025"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]"
La vegetariana,"Han, Kang",https://www.goodreads.com/book/show/34593278-la-vegetariana,"Oct 30, 2007",2025-01-16,2025-01-05,240,5,"He leído el libro con una mezcla de emociones. El texto es bellísimo, las palabras cuidadas y casi poéticas. Y, sin embargo, el contenido -las imágene He leído el libro con una mezcla de emociones. El texto es bellísimo, las palabras cuidadas y casi poéticas. Y, sin embargo, el contenido -las imágenes que describe- son horribles y profundamente hirientes y duras. He terminado el libro con el corazón en un puño. ...more",read; club-de-lectura; left-a-mark,"[{""date"":""January 5, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 5, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 12, 2025"",""page"":90,""percent"":37.5,""event"":null},{""date"":""January 16, 2025"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]"
